country,Per_pop,Year
Australia,27.3,2019
Australia,27.7,2021
Brazil,8.3,2019
Brazil,12.5,2021
Canada,29.3,2019
Canada,23.8,2021
China,35.7,2019
China,40.8,2021
Germany,35.8,2019
Germany,32,2021
Egypt,39.2,2019
Egypt,36.5,2021
Spain,11,2019
Spain,14.7,2021
Finland,55.1,2019
Finland,54,2021
France,35,2019
France,33.4,2021
UK,20.2,2019
UK,21.8,2021
Greece,16.3,2019
Greece,13.2,2021
India,26.5,2019
India,23.8,2021
Ireland,22.4,2019
Ireland,26.7,2021
Israel,42.5,2019
Israel,40.3,2021
Italy,23.3,2019
Italy,26.2,2021
Japan,34.3,2019
Japan,35,2021
Kenya,15.8,2019
Kenya,18.9,2021
South Korea,39.6,2019
South Korea,29.6,2021
Mexico,17.2,2019
Mexico,17.9,2021
Norway,42.9,2019
Norway,39.4,2021
Pakistan,41.9,2019
Pakistan,35.3,2021
Peru,18.1,2019
Peru,20.8,2021
Philippines,18.2,2019
Philippines,17.8,2021
Poland,34.1,2019
Poland,15.8,2021
Portugal,10.3,2019
Portugal,15.1,2021
Russia,22.7,2019
Russia,30.6,2021
Singapore,19.9,2019
Singapore,27.3,2021
Ukraine,25.6,2019
Ukraine,25,2021
USA,25.3,2019
USA,22.2,2021
Vietnam,20.7,2019
Vietnam,25.4,2021
