Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Reporting Type,Units,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,76,Brazil,G,INDEX,0.9375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,124,Canada,G,INDEX,0.78125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,246,Finland,G,INDEX,0.8125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,250,France,G,INDEX,0.99063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,276,Germany,G,INDEX,0.90365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,356,India,G,INDEX,0.91667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,372,Ireland,G,INDEX,0.8125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,380,Italy,G,INDEX,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,604,Peru,G,INDEX,0.8125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,616,Poland,G,INDEX,0.80208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,410,Republic of Korea,G,INDEX,0.88281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,724,Spain,G,INDEX,0.90885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,804,Ukraine,G,INDEX,0.91667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,826,United Kingdom of Great Britain and Northern Ireland,G,INDEX,0.58594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
