City,Location,lat,lon,pollutant,source,unit,value,time,country
Pontevedra,ES2015A,42.18142777,-8.52393055,O3,EEA Spain,µg/m³,1,2023-06-15T11:30:00+05:30,Portugal
Pontevedra,ES2015A,42.18142777,-8.52393055,NO2,EEA Spain,µg/m³,5,2023-06-15T11:30:00+05:30,Portugal
Faro,PT05012,37.3125,-7.678611,O3,EEA Portugal,µg/m³,74,2023-06-15T10:30:00+05:30,Portugal
Santarém,PT03096,39.3525,-8.466111,NO2,EEA Portugal,µg/m³,2,2023-06-15T10:30:00+05:30,Portugal
Lisboa,PT03101,38.896111,-9.040278,O3,EEA Portugal,µg/m³,66,2023-06-15T10:30:00+05:30,Portugal
Setúbal,PT03063,38.619444,-9.081111,NO2,EEA Portugal,µg/m³,8.4,2023-06-15T10:30:00+05:30,Portugal
Viseu,PT02021,40.641111,-8.100556,O3,EEA Portugal,µg/m³,32,2023-06-15T10:30:00+05:30,Portugal
Setúbal,PT04002,38.076944,-8.798611,PM2.5,EEA Portugal,µg/m³,5,2023-06-15T10:30:00+05:30,Portugal
Faro,PT05007,37.015,-7.926667,O3,EEA Portugal,µg/m³,84,2023-06-15T10:30:00+05:30,Portugal
Setúbal,PT03063,38.619444,-9.081111,O3,EEA Portugal,µg/m³,72,2023-06-15T10:30:00+05:30,Portugal
Viseu,PT02021,40.641111,-8.100556,NO2,EEA Portugal,µg/m³,2,2023-06-15T10:30:00+05:30,Portugal
Porto,PT01053,41.096667,-8.555833,NO2,EEA Portugal,µg/m³,9.1,2023-06-15T10:30:00+05:30,Portugal
Lisboa,PT03087,38.705,-9.210278,O3,EEA Portugal,µg/m³,59,2023-06-15T10:30:00+05:30,Portugal
Lisboa,PT03085,38.829722,-9.164444,NO2,EEA Portugal,µg/m³,2.6,2023-06-15T10:30:00+05:30,Portugal
Lisboa,PT03071,38.768889,-9.108056,O3,EEA Portugal,µg/m³,70,2023-06-15T10:30:00+05:30,Portugal
Braga,PT01046,41.449722,-8.296389,NO2,EEA Portugal,µg/m³,10.5,2023-06-15T10:30:00+05:30,Portugal
Setúbal,PT04002,38.076944,-8.798611,NO2,EEA Portugal,µg/m³,3,2023-06-15T10:30:00+05:30,Portugal
Coimbra,PT02016,40.206944,-8.410833,NO2,EEA Portugal,µg/m³,4,2023-06-15T10:30:00+05:30,Portugal
Braga,PT01042,41.569444,-8.456944,O3,EEA Portugal,µg/m³,1996,2023-06-15T10:30:00+05:30,Portugal
Setúbal,PT03095,38.658611,-9.066944,O3,EEA Portugal,µg/m³,82,2023-06-15T10:30:00+05:30,Portugal
Lisboa,PT03072,38.74861099999999,-9.148889,NO2,EEA Portugal,µg/m³,9.8,2023-06-15T10:30:00+05:30,Portugal
Porto,PT01031,41.252222,-8.660556,NO2,EEA Portugal,µg/m³,15,2023-06-15T10:30:00+05:30,Portugal
Porto,PT01021,41.199722,-8.644722,NO2,EEA Portugal,µg/m³,18.5,2023-06-15T10:30:00+05:30,Portugal
Braga,PT01042,41.569444,-8.456944,NO2,EEA Portugal,µg/m³,4,2023-06-15T10:30:00+05:30,Portugal
Vila Real,PT01048,41.371389,-7.790833,O3,EEA Portugal,µg/m³,85,2023-06-15T10:30:00+05:30,Portugal
Évora,PT04006,38.615,-7.3975,O3,EEA Portugal,µg/m³,20,2023-06-15T10:30:00+05:30,Portugal
Setúbal,PT03095,38.658611,-9.066944,NO2,EEA Portugal,µg/m³,4.1,2023-06-15T10:30:00+05:30,Portugal
Coimbra,PT02016,40.206944,-8.410833,O3,EEA Portugal,µg/m³,42,2023-06-15T10:30:00+05:30,Portugal
Faro,PT05007,37.015,-7.926667,PM2.5,EEA Portugal,µg/m³,2.5,2023-06-15T10:30:00+05:30,Portugal
Vila Real,PT01048,41.371389,-7.790833,NO2,EEA Portugal,µg/m³,1.9,2023-06-15T10:30:00+05:30,Portugal
Faro,PT05012,37.3125,-7.678611,PM2.5,EEA Portugal,µg/m³,3,2023-06-15T10:30:00+05:30,Portugal
Aveiro,PT01054,40.999444,-8.623333,O3,EEA Portugal,µg/m³,2,2023-06-15T10:30:00+05:30,Portugal
Lisboa,PT03087,38.705,-9.210278,NO2,EEA Portugal,µg/m³,7,2023-06-15T10:30:00+05:30,Portugal
Aveiro,PT01054,40.999444,-8.623333,NO2,EEA Portugal,µg/m³,19.2,2023-06-15T10:30:00+05:30,Portugal
Porto,PT01051,41.308611,-8.720833,NO2,EEA Portugal,µg/m³,15.8,2023-06-15T10:30:00+05:30,Portugal
Lisboa,PT03100,38.748056,-9.2025,NO2,EEA Portugal,µg/m³,17.4,2023-06-15T10:30:00+05:30,Portugal
Porto,PT01024,41.235556,-8.618611,NO2,EEA Portugal,µg/m³,17.1,2023-06-15T10:30:00+05:30,Portugal
Lisboa,PT03101,38.896111,-9.040278,NO2,EEA Portugal,µg/m³,5.4,2023-06-15T10:30:00+05:30,Portugal
Lisboa,PT03075,38.720278,-9.145833,NO2,EEA Portugal,µg/m³,36.2,2023-06-15T10:30:00+05:30,Portugal
Lisboa,PT03089,38.785,-9.347222,O3,EEA Portugal,µg/m³,93,2023-06-15T10:30:00+05:30,Portugal
Setúbal,PT03083,38.663611,-9.157778,NO2,EEA Portugal,µg/m³,8.5,2023-06-15T10:30:00+05:30,Portugal
Porto,PT01031,41.252222,-8.660556,O3,EEA Portugal,µg/m³,10,2023-06-15T10:30:00+05:30,Portugal
Lisboa,PT03071,38.768889,-9.108056,NO2,EEA Portugal,µg/m³,13.4,2023-06-15T10:30:00+05:30,Portugal
Lisboa,PT03070,38.894722,-9.1175,NO2,EEA Portugal,µg/m³,14,2023-06-15T10:30:00+05:30,Portugal
Setúbal,PT03103,38.65,-9.048611,NO2,EEA Portugal,µg/m³,4.7,2023-06-15T10:30:00+05:30,Portugal
Porto,PT01043,41.2075,-8.338056,NO2,EEA Portugal,µg/m³,11.7,2023-06-15T10:30:00+05:30,Portugal
Lisboa,PT03102,39.278333,-9.245556,NO2,EEA Portugal,µg/m³,5.1,2023-06-15T10:30:00+05:30,Portugal
Setúbal,PT03093,38.529167,-8.894167,NO2,EEA Portugal,µg/m³,4.4,2023-06-15T10:30:00+05:30,Portugal
Setúbal,PT04004,38.02,-8.6975,NO2,EEA Portugal,µg/m³,1,2023-06-15T10:30:00+05:30,Portugal
Porto,PT01044,41.274167,-8.376111,PM2.5,EEA Portugal,µg/m³,0,2023-06-15T10:30:00+05:30,Portugal
Faro,PT05008,37.091667,-8.249722,NO2,EEA Portugal,µg/m³,0,2023-06-15T10:30:00+05:30,Portugal
Lisboa,PT03091,38.6975,-9.323333,O3,EEA Portugal,µg/m³,83,2023-06-15T10:30:00+05:30,Portugal
Porto,PT01052,41.187778,-8.672222,O3,EEA Portugal,µg/m³,3,2023-06-15T10:30:00+05:30,Portugal
Setúbal,PT04003,37.871111,-8.723889,PM2.5,EEA Portugal,µg/m³,5.4,2023-06-15T10:30:00+05:30,Portugal
Braga,PT01041,41.549722,-8.405833,NO2,EEA Portugal,µg/m³,0,2023-06-15T10:30:00+05:30,Portugal
Setúbal,PT03099,38.635556,-8.690556,NO2,EEA Portugal,µg/m³,7.7,2023-06-15T10:30:00+05:30,Portugal
Setúbal,PT03099,38.635556,-8.690556,O3,EEA Portugal,µg/m³,54,2023-06-15T10:30:00+05:30,Portugal
Aveiro,PT02004,40.756667,-8.572778,O3,EEA Portugal,µg/m³,10,2023-06-15T10:30:00+05:30,Portugal
Porto,PT01030,41.186111,-8.663056,NO2,EEA Portugal,µg/m³,26.7,2023-06-15T10:30:00+05:30,Portugal
Coimbra,PT02022,40.182778,-8.676667,O3,EEA Portugal,µg/m³,51,2023-06-15T10:30:00+05:30,Portugal
Setúbal,PT04003,37.871111,-8.723889,NO2,EEA Portugal,µg/m³,0,2023-06-15T10:30:00+05:30,Portugal
Porto,PT01023,41.206667,-8.552778,O3,EEA Portugal,µg/m³,23,2023-06-15T10:30:00+05:30,Portugal
Lisboa,PT03084,38.754167,-9.230833,O3,EEA Portugal,µg/m³,66,2023-06-15T10:30:00+05:30,Portugal
Leiria,PT02019,39.923889,-8.891667,NO2,EEA Portugal,µg/m³,2,2023-06-15T10:30:00+05:30,Portugal
Aveiro,PT02017,40.635556,-8.646667,NO2,EEA Portugal,µg/m³,9,2023-06-15T10:30:00+05:30,Portugal
Évora,PT04006,38.615,-7.3975,NO2,EEA Portugal,µg/m³,1,2023-06-15T10:30:00+05:30,Portugal
Porto,PT01044,41.274167,-8.376111,NO2,EEA Portugal,µg/m³,8.7,2023-06-15T10:30:00+05:30,Portugal
Setúbal,PT04002,38.076944,-8.798611,O3,EEA Portugal,µg/m³,53,2023-06-15T10:30:00+05:30,Portugal
Vila Real,PT01048,41.371389,-7.790833,PM2.5,EEA Portugal,µg/m³,0,2023-06-15T10:30:00+05:30,Portugal
Faro,PT05011,37.138333,-8.542222,NO2,EEA Portugal,µg/m³,12,2023-06-15T10:30:00+05:30,Portugal
Setúbal,PT04004,38.02,-8.6975,PM2.5,EEA Portugal,µg/m³,3.7,2023-06-15T10:30:00+05:30,Portugal
Lisboa,PT03085,38.829722,-9.164444,O3,EEA Portugal,µg/m³,83,2023-06-15T10:30:00+05:30,Portugal
Lisboa,PT03072,38.74861099999999,-9.148889,O3,EEA Portugal,µg/m³,75,2023-06-15T10:30:00+05:30,Portugal
Porto,PT01052,41.187778,-8.672222,NO2,EEA Portugal,µg/m³,8.7,2023-06-15T10:30:00+05:30,Portugal
Porto,PT01034,41.218056,-8.632222,O3,EEA Portugal,µg/m³,7,2023-06-15T10:30:00+05:30,Portugal
Porto,PT01044,41.274167,-8.376111,O3,EEA Portugal,µg/m³,5,2023-06-15T10:30:00+05:30,Portugal
Coimbra,PT02022,40.182778,-8.676667,NO2,EEA Portugal,µg/m³,2,2023-06-15T10:30:00+05:30,Portugal
Setúbal,PT04003,37.871111,-8.723889,O3,EEA Portugal,µg/m³,18,2023-06-15T10:30:00+05:30,Portugal
Faro,PT05008,37.091667,-8.249722,O3,EEA Portugal,µg/m³,46,2023-06-15T10:30:00+05:30,Portugal
Setúbal,PT03093,38.529167,-8.894167,O3,EEA Portugal,µg/m³,80,2023-06-15T10:30:00+05:30,Portugal
Lisboa,PT03089,38.785,-9.347222,NO2,EEA Portugal,µg/m³,2.1,2023-06-15T10:30:00+05:30,Portugal
Lisboa,PT03070,38.894722,-9.1175,O3,EEA Portugal,µg/m³,73,2023-06-15T10:30:00+05:30,Portugal
Porto,PT01023,41.206667,-8.552778,NO2,EEA Portugal,µg/m³,16.1,2023-06-15T10:30:00+05:30,Portugal
Porto,PT01025,41.232222,-8.713056,O3,EEA Portugal,µg/m³,6,2023-06-15T10:30:00+05:30,Portugal
Porto,PT01028,41.164444,-8.589444,NO2,EEA Portugal,µg/m³,19.7,2023-06-15T10:30:00+05:30,Portugal
Castelo Branco,PT02020,40.233056,-7.301944,O3,EEA Portugal,µg/m³,45,2023-06-15T10:30:00+05:30,Portugal
Faro,PT05012,37.3125,-7.678611,NO2,EEA Portugal,µg/m³,3.5,2023-06-15T10:30:00+05:30,Portugal
Lisboa,PT03082,38.738889,-9.2075,NO2,EEA Portugal,µg/m³,13.1,2023-06-15T10:30:00+05:30,Portugal
Porto,PT01051,41.308611,-8.720833,O3,EEA Portugal,µg/m³,7,2023-06-15T10:30:00+05:30,Portugal
Lisboa,PT03102,39.278333,-9.245556,O3,EEA Portugal,µg/m³,83,2023-06-15T10:30:00+05:30,Portugal
Évora,PT04006,38.615,-7.3975,PM2.5,EEA Portugal,µg/m³,7.1,2023-06-15T10:30:00+05:30,Portugal
Santarém,PT03096,39.3525,-8.466111,O3,EEA Portugal,µg/m³,72,2023-06-15T10:30:00+05:30,Portugal
Lisboa,PT03091,38.6975,-9.323333,NO2,EEA Portugal,µg/m³,2.4,2023-06-15T10:30:00+05:30,Portugal
Castelo Branco,PT02020,40.233056,-7.301944,NO2,EEA Portugal,µg/m³,3,2023-06-15T10:30:00+05:30,Portugal
Lisboa,PT03097,38.802222,-9.182222,NO2,EEA Portugal,µg/m³,2.7,2023-06-15T10:30:00+05:30,Portugal
Coimbra,PT02006,40.214722,-8.401667,NO2,EEA Portugal,µg/m³,7,2023-06-15T10:30:00+05:30,Portugal
Faro,PT05007,37.015,-7.926667,NO2,EEA Portugal,µg/m³,1.8,2023-06-15T10:30:00+05:30,Portugal
Lisboa,PT03104,38.701389,-9.429444,NO2,EEA Portugal,µg/m³,4.3,2023-06-15T10:30:00+05:30,Portugal
Lisboa,PT03084,38.754167,-9.230833,NO2,EEA Portugal,µg/m³,8.4,2023-06-15T10:30:00+05:30,Portugal
Leiria,PT02019,39.923889,-8.891667,O3,EEA Portugal,µg/m³,75,2023-06-15T10:30:00+05:30,Portugal
Setúbal,PT03083,38.663611,-9.157778,O3,EEA Portugal,µg/m³,84,2023-06-15T09:30:00+05:30,Portugal
Aveiro,PT02004,40.756667,-8.572778,NO2,EEA Portugal,µg/m³,6,2023-06-15T09:30:00+05:30,Portugal
Setúbal,PT03094,38.524167,-8.894167,NO2,EEA Portugal,µg/m³,10.1,2023-06-15T09:30:00+05:30,Portugal
Castelo Branco,PT02020,40.233056,-7.301944,PM2.5,EEA Portugal,µg/m³,4,2023-06-15T08:30:00+05:30,Portugal
Lisboa,PT03072,38.74861099999999,-9.148889,PM2.5,EEA Portugal,µg/m³,4.2,2023-06-15T08:30:00+05:30,Portugal
Lisboa,PT03089,38.785,-9.347222,PM2.5,EEA Portugal,µg/m³,4.6,2023-06-15T08:30:00+05:30,Portugal
Setúbal,PT03063,38.619444,-9.081111,PM2.5,EEA Portugal,µg/m³,7.7,2023-06-15T08:30:00+05:30,Portugal
Lisboa,PT03071,38.768889,-9.108056,PM2.5,EEA Portugal,µg/m³,3.3,2023-06-15T08:30:00+05:30,Portugal
Setúbal,PT03083,38.663611,-9.157778,PM2.5,EEA Portugal,µg/m³,3,2023-06-15T08:30:00+05:30,Portugal
Leiria,PT02019,39.923889,-8.891667,PM2.5,EEA Portugal,µg/m³,4,2023-06-15T08:30:00+05:30,Portugal
Setúbal,PT03099,38.635556,-8.690556,PM2.5,EEA Portugal,µg/m³,2,2023-06-15T07:30:00+05:30,Portugal
Lisboa,PT03102,39.278333,-9.245556,PM2.5,EEA Portugal,µg/m³,2,2023-06-15T07:30:00+05:30,Portugal
Setúbal,PT03055,38.666667,-9.047778,NO2,EEA Portugal,µg/m³,1.9,2023-06-15T07:30:00+05:30,Portugal
Aveiro,PT02004,40.756667,-8.572778,PM2.5,EEA Portugal,µg/m³,4,2023-06-15T07:30:00+05:30,Portugal
Aveiro,PT02018,40.589722,-8.670556,NO2,EEA Portugal,µg/m³,2,2023-06-14T14:30:00+05:30,Portugal
Aveiro,PT02018,40.589722,-8.670556,O3,EEA Portugal,µg/m³,77,2023-06-14T14:30:00+05:30,Portugal
Santarém,PT03096,39.3525,-8.466111,PM2.5,EEA Portugal,µg/m³,8.8,2023-06-12T03:30:00+05:30,Portugal
Setúbal,PT04004,38.02,-8.6975,O3,EEA Portugal,µg/m³,104,2023-05-17T08:30:00+05:30,Portugal
Wschowa,Wschowa ul. Kazimierza Wielkiego,51.79972199999999,16.3175,NO2,GIOS,µg/m³,3.15321,2024-03-24T14:30:00+05:30,Poland
Wilczopole,Wilczopole,51.163542,22.598608,O3,GIOS,µg/m³,86.1,2024-03-24T14:30:00+05:30,Poland
Wschowa,Wschowa ul. Kazimierza Wielkiego,51.79972199999999,16.3175,PM2.5,GIOS,µg/m³,4.87121,2024-03-24T14:30:00+05:30,Poland
Gorzów Wielkopolski,Gorzów Wlkp. ul. Kosynierów Gdyńskich,52.738213999999985,15.228667,O3,GIOS,µg/m³,48.2256,2024-03-24T14:30:00+05:30,Poland
Bytów,Bytów Mobilna,54.172717,17.492946,PM2.5,GIOS,µg/m³,8.39456,2024-03-24T14:30:00+05:30,Poland
Wschowa,Wschowa ul. Kazimierza Wielkiego,51.79972199999999,16.3175,O3,GIOS,µg/m³,67.6714,2024-03-24T14:30:00+05:30,Poland
Czerniawa,Czerniawa,50.912475,15.31219,NO2,GIOS,µg/m³,2.99812,2024-03-24T14:30:00+05:30,Poland
Kaszów,Kaszów,50.025028,19.726833,O3,GIOS,µg/m³,61.5909,2024-03-24T14:30:00+05:30,Poland
Kaszów,Kaszów,50.025028,19.726833,NO2,GIOS,µg/m³,7.44835,2024-03-24T14:30:00+05:30,Poland
